"date","year","month","day","total_downloads"
"2016-08-02",2016,"August",02,560
"2016-08-03",2016,"August",03,887
"2016-08-04",2016,"August",04,389
"2016-08-05",2016,"August",05,271
"2016-08-06",2016,"August",06,165
"2016-08-07",2016,"August",07,569
"2016-08-08",2016,"August",08,399
"2016-08-09",2016,"August",09,311
"2016-08-10",2016,"August",10,311
"2016-08-11",2016,"August",11,193
"2016-08-12",2016,"August",12,158
"2016-08-13",2016,"August",13,140
"2016-08-14",2016,"August",14,788
"2016-08-15",2016,"August",15,743
"2016-08-16",2016,"August",16,491
"2016-08-17",2016,"August",17,472
"2016-08-18",2016,"August",18,803
"2016-08-19",2016,"August",19,445
"2016-08-20",2016,"August",20,373
"2016-08-21",2016,"August",21,689
"2016-08-22",2016,"August",22,525
"2016-08-23",2016,"August",23,329
"2016-08-24",2016,"August",24,304
"2016-08-25",2016,"August",25,255
"2016-08-26",2016,"August",26,239
"2016-08-27",2016,"August",27,168
"2016-08-28",2016,"August",28,686
"2016-08-29",2016,"August",29,577
"2016-08-30",2016,"August",30,336
"2016-08-31",2016,"August",31,306
"2016-09-01",2016,"September",01,832
"2016-09-02",2016,"September",02,472
"2016-09-03",2016,"September",03,266
"2016-09-04",2016,"September",04,670
"2016-09-05",2016,"September",05,479
"2016-09-06",2016,"September",06,287
"2016-09-07",2016,"September",07,286
"2016-09-08",2016,"September",08,255
"2016-09-09",2016,"September",09,253
"2016-09-10",2016,"September",10,248
"2016-09-11",2016,"September",11,683
"2016-09-12",2016,"September",12,507
"2016-09-13",2016,"September",13,320
"2016-09-14",2016,"September",14,261
"2016-09-15",2016,"September",15,706
"2016-09-16",2016,"September",16,380
"2016-09-17",2016,"September",17,428
"2016-09-18",2016,"September",18,820
"2016-09-19",2016,"September",19,686
"2016-09-20",2016,"September",20,394
"2016-09-21",2016,"September",21,378
"2016-09-22",2016,"September",22,708
"2016-09-23",2016,"September",23,412
"2016-09-24",2016,"September",24,340
"2016-09-25",2016,"September",25,462
"2016-09-26",2016,"September",26,586
"2016-09-27",2016,"September",27,330
"2016-09-28",2016,"September",28,765
"2016-09-29",2016,"September",29,551
"2016-09-30",2016,"September",30,570
"2016-10-01",2016,"October",01,294
"2016-10-02",2016,"October",02,662
"2016-10-03",2016,"October",03,461
"2016-10-04",2016,"October",04,314
"2016-10-05",2016,"October",05,342
"2016-10-06",2016,"October",06,303
"2016-10-07",2016,"October",07,215
"2016-10-08",2016,"October",08,195
"2016-10-09",2016,"October",09,800
"2016-10-10",2016,"October",10,576
"2016-10-11",2016,"October",11,468
"2016-10-12",2016,"October",12,461
"2016-10-13",2016,"October",13,422
"2016-10-14",2016,"October",14,197
"2016-10-15",2016,"October",15,190
"2016-10-16",2016,"October",16,1137
"2016-10-17",2016,"October",17,1074
"2016-10-18",2016,"October",18,535
"2016-10-19",2016,"October",19,438
"2016-10-20",2016,"October",20,519
"2016-10-21",2016,"October",21,414
"2016-10-22",2016,"October",22,347
"2016-10-23",2016,"October",23,836
"2016-10-24",2016,"October",24,732
"2016-10-25",2016,"October",25,469
"2016-10-26",2016,"October",26,433
"2016-10-27",2016,"October",27,1009
"2016-10-28",2016,"October",28,478
"2016-10-29",2016,"October",29,451
"2016-10-30",2016,"October",30,1159
"2016-10-31",2016,"October",31,562
"2016-11-01",2016,"November",01,389
"2016-11-02",2016,"November",02,385
"2016-11-03",2016,"November",03,305
"2016-11-04",2016,"November",04,384
"2016-11-05",2016,"November",05,280
"2016-11-06",2016,"November",06,908
"2016-11-07",2016,"November",07,626
"2016-11-08",2016,"November",08,390
"2016-11-09",2016,"November",09,339
"2016-11-10",2016,"November",10,856
"2016-11-11",2016,"November",11,657
"2016-11-12",2016,"November",12,459
"2016-11-13",2016,"November",13,878
"2016-11-14",2016,"November",14,568
"2016-11-15",2016,"November",15,454
"2016-11-16",2016,"November",16,344
"2016-11-17",2016,"November",17,473
"2016-11-18",2016,"November",18,194
"2016-11-19",2016,"November",19,442
"2016-11-20",2016,"November",20,762
"2016-11-21",2016,"November",21,704
"2016-11-22",2016,"November",22,412
"2016-11-23",2016,"November",23,510
"2016-11-24",2016,"November",24,361
"2016-11-25",2016,"November",25,334
"2016-11-26",2016,"November",26,323
"2016-11-27",2016,"November",27,664
"2016-11-28",2016,"November",28,412
"2016-11-29",2016,"November",29,346
"2016-11-30",2016,"November",30,805
"2016-12-01",2016,"December",01,837
"2016-12-02",2016,"December",02,508
"2016-12-03",2016,"December",03,453
"2016-12-04",2016,"December",04,733
"2016-12-05",2016,"December",05,500
"2016-12-06",2016,"December",06,209
"2016-12-07",2016,"December",07,174
"2016-12-08",2016,"December",08,195
"2016-12-09",2016,"December",09,196
"2016-12-10",2016,"December",10,173
"2016-12-11",2016,"December",11,463
"2016-12-12",2016,"December",12,625
"2016-12-13",2016,"December",13,414
"2016-12-14",2016,"December",14,303
"2016-12-15",2016,"December",15,381
"2016-12-16",2016,"December",16,326
"2016-12-17",2016,"December",17,322
"2016-12-18",2016,"December",18,683
"2016-12-19",2016,"December",19,492
"2016-12-20",2016,"December",20,300
"2016-12-21",2016,"December",21,295
"2016-12-22",2016,"December",22,435
"2016-12-23",2016,"December",23,477
"2016-12-24",2016,"December",24,333
"2016-12-25",2016,"December",25,625
"2016-12-26",2016,"December",26,476
"2016-12-27",2016,"December",27,206
"2016-12-28",2016,"December",28,285
"2016-12-29",2016,"December",29,341
"2016-12-30",2016,"December",30,246
"2016-12-31",2016,"December",31,146
"2017-01-01",2017,"January",01,495
"2017-01-02",2017,"January",02,590
"2017-01-03",2017,"January",03,1273
"2017-01-04",2017,"January",04,699
"2017-01-05",2017,"January",05,776
"2017-01-06",2017,"January",06,363
"2017-01-07",2017,"January",07,445
"2017-01-08",2017,"January",08,674
"2017-01-09",2017,"January",09,549
"2017-01-10",2017,"January",10,411
"2017-01-11",2017,"January",11,703
"2017-01-12",2017,"January",12,877
"2017-01-13",2017,"January",13,363
"2017-01-14",2017,"January",14,269
"2017-01-15",2017,"January",15,730
"2017-01-16",2017,"January",16,561
"2017-01-17",2017,"January",17,372
"2017-01-18",2017,"January",18,338
"2017-01-19",2017,"January",19,332
"2017-01-20",2017,"January",20,172
"2017-01-21",2017,"January",21,171
"2017-01-22",2017,"January",22,451
"2017-01-23",2017,"January",23,704
"2017-01-24",2017,"January",24,309
"2017-01-25",2017,"January",25,536
