downloads_percent,downloads_total,interval
0.00013,260,2019-12-27
0.00032,665,2019-12-28
0.00034,695,2019-12-29
0.0012,2470,2019-12-30
0.00085,1751,2019-12-31
0.00051,1043,2020-01-01
0.00068,1405,2020-01-02
0.001,2072,2020-01-03
0.00012,240,2020-01-04
0.0004,818,2020-01-05
0.00059,1214,2020-01-06
0.00037,770,2020-01-07
0.00133,2737,2020-01-08
0.00079,1637,2020-01-09
0.00094,1948,2020-01-10
0.00038,788,2020-01-11
0.00079,1634,2020-01-12
0.00072,1488,2020-01-13
0.00128,2642,2020-01-14
0.00107,2210,2020-01-15
0.00116,2391,2020-01-16
0.00071,1473,2020-01-17
0.00172,3552,2020-01-18
0.00062,1272,2020-01-19
0.00102,2095,2020-01-20
0.00094,1944,2020-01-21
0.00033,679,2020-01-22
0.00131,2704,2020-01-23
0.00073,1501,2020-01-24
0.00087,1804,2020-01-25
0.00067,1389,2020-01-26
0.00121,2494,2020-01-27
0.00137,2835,2020-01-28
0.00122,2515,2020-01-29
0.00155,3203,2020-01-30
0.00095,1961,2020-01-31
0.00056,1160,2020-02-01
0.00049,1003,2020-02-02
0.00107,2211,2020-02-03
0.00124,2550,2020-02-04
0.00085,1747,2020-02-05
0.00126,2599,2020-02-06
0.00021,436,2020-02-07
0.00104,2139,2020-02-08
0.00018,369,2020-02-09
0.00089,1834,2020-02-10
0.00049,1019,2020-02-11
0.00087,1800,2020-02-12
0.00097,2001,2020-02-13
0.00067,1376,2020-02-14
0.00063,1302,2020-02-15
0.00018,376,2020-02-16
0.00095,1952,2020-02-17
0.00081,1673,2020-02-18
0.00069,1426,2020-02-19
0.00028,582,2020-02-20
0.00052,1063,2020-02-21
0.00054,1121,2020-02-22
0.0007,1436,2020-02-23
0.00096,1985,2020-02-24
0.00116,2389,2020-02-25
0.00116,2395,2020-02-26
0.00099,2040,2020-02-27
0.00053,1084,2020-02-28
0.001,2057,2020-02-29
0.0012,2480,2020-03-01
0.00097,2004,2020-03-02
0.00082,1688,2020-03-03
0.00069,1424,2020-03-04
0.00093,1915,2020-03-05
0.00068,1396,2020-03-06
0.00033,677,2020-03-07
0.0005,1031,2020-03-08
0.00079,1627,2020-03-09
0.00069,1427,2020-03-10
0.00042,871,2020-03-11
0.00135,2785,2020-03-12
0.00106,2185,2020-03-13
0.00037,762,2020-03-14
0.00045,923,2020-03-15
0.00073,1514,2020-03-16
0.00157,3229,2020-03-17
0.00072,1492,2020-03-18
0.00093,1923,2020-03-19
0.00117,2416,2020-03-20
0.00061,1249,2020-03-21
0.00064,1311,2020-03-22
0.0008,1642,2020-03-23
0.00213,4399,2020-03-24
0.00205,4218,2020-03-25
0.00118,2428,2020-03-26
0.00091,1867,2020-03-27
0.00073,1499,2020-03-28
0.00057,1173,2020-03-29
0.00111,2290,2020-03-30
0.00127,2616,2020-03-31
0.00083,1712,2020-04-01
0.00104,2145,2020-04-02
0.00058,1202,2020-04-03
0.00086,1770,2020-04-04
0.00103,2129,2020-04-05
0.00077,1584,2020-04-06
0.00098,2017,2020-04-07
0.00049,1001,2020-04-08
0.00072,1477,2020-04-09
0.00056,1151,2020-04-10
0.00045,924,2020-04-11
0.00044,899,2020-04-12
0.00133,2733,2020-04-13
0.00039,796,2020-04-14
0.00047,970,2020-04-15
0.00058,1200,2020-04-16
0.00048,983,2020-04-17
0.00017,344,2020-04-18
0.00022,460,2020-04-19
0.00107,2209,2020-04-20
0.00082,1686,2020-04-21
0.00029,593,2020-04-22
0.00097,1995,2020-04-23
0.00061,1267,2020-04-24
0.0007,1452,2020-04-25
0.00084,1724,2020-04-26
0.00083,1705,2020-04-27
0.00036,746,2020-04-28
0.00068,1405,2020-04-29
0.0008,1654,2020-04-30
0.00073,1500,2020-05-01
0.00083,1708,2020-05-02
0.00021,427,2020-05-03
0.00117,2416,2020-05-04
0.00138,2845,2020-05-05
0.00024,490,2020-05-06
0.00068,1400,2020-05-07
0.00111,2285,2020-05-08
0.0012,2468,2020-05-09
0.00085,1748,2020-05-10
0.00088,1822,2020-05-11
0.00213,4398,2020-05-12
0.00078,1610,2020-05-13
0.00036,738,2020-05-14
0.00079,1624,2020-05-15
0.00115,2381,2020-05-16
0.00093,1926,2020-05-17
0.00104,2154,2020-05-18
0.0007,1451,2020-05-19
0.00075,1547,2020-05-20
0.00032,666,2020-05-21
0.00134,2755,2020-05-22
0.00097,2003,2020-05-23
0.00066,1370,2020-05-24
0.00213,4394,2020-05-25
0.00068,1408,2020-05-26
0.00086,1777,2020-05-27
0.00119,2458,2020-05-28
0.00086,1778,2020-05-29
0.00024,503,2020-05-30
0.00098,2019,2020-05-31
0.00091,1870,2020-06-01
0.00071,1456,2020-06-02
0.00056,1165,2020-06-03
0.00122,2507,2020-06-04
0.00029,604,2020-06-05
0.00035,713,2020-06-06
0.00049,1015,2020-06-07
0.00112,2300,2020-06-08
0.00084,1738,2020-06-09
0.00069,1424,2020-06-10
0.00063,1308,2020-06-11
0.00051,1060,2020-06-12
0.00034,691,2020-06-13
0.0002,418,2020-06-14
0.00039,804,2020-06-15
0.00058,1199,2020-06-16
0.00039,809,2020-06-17
0.00089,1826,2020-06-18
0.00065,1348,2020-06-19
0.00038,793,2020-06-20
0.00075,1538,2020-06-21
0.00074,1533,2020-06-22
0.00033,684,2020-06-23
0.00086,1767,2020-06-24
0.00026,528,2020-06-25
0.00041,846,2020-06-26
0.00035,721,2020-06-27
0.00062,1277,2020-06-28
0.00036,740,2020-06-29
0.00021,437,2020-06-30
0.00048,994,2020-07-01
0.00119,2458,2020-07-02
0.00214,4413,2020-07-03
0.0003,610,2020-07-04
0.00088,1822,2020-07-05
0.00149,3071,2020-07-06
0.00094,1943,2020-07-07
0.00108,2225,2020-07-08
0.00101,2076,2020-07-09
0.00075,1550,2020-07-10
0.00033,672,2020-07-11
0.00039,813,2020-07-12
0.00062,1287,2020-07-13
0.00035,712,2020-07-14
0.00021,442,2020-07-15
0.00025,514,2020-07-16
0.0002,409,2020-07-17
0.00062,1272,2020-07-18
0.00078,1604,2020-07-19
0.00125,2580,2020-07-20
0.00088,1814,2020-07-21
0.00028,580,2020-07-22
0.00141,2918,2020-07-23
0.00093,1926,2020-07-24
0.0009,1854,2020-07-25
0.00034,708,2020-07-26
0.0009,1865,2020-07-27
0.00022,454,2020-07-28
0.00055,1126,2020-07-29
0.00162,3343,2020-07-30
0.00064,1316,2020-07-31
0.00023,467,2020-08-01
0.0003,621,2020-08-02
0.00049,1018,2020-08-03
0.00019,382,2020-08-04
0.00079,1637,2020-08-05
0.00146,3001,2020-08-06
0.0007,1444,2020-08-07
0.00027,561,2020-08-08
0.00061,1267,2020-08-09
0.00037,762,2020-08-10
0.00018,362,2020-08-11
0.0004,815,2020-08-12
0.0006,1243,2020-08-13
0.00036,747,2020-08-14
0.00062,1282,2020-08-15
0.00051,1054,2020-08-16
0.00134,2755,2020-08-17
0.00148,3051,2020-08-18
0.00041,852,2020-08-19
0.0005,1039,2020-08-20
0.00051,1049,2020-08-21
0.00021,439,2020-08-22
0.00031,646,2020-08-23
0.00085,1744,2020-08-24
0.00139,2870,2020-08-25
0.00025,506,2020-08-26
0.00039,797,2020-08-27
0.00084,1739,2020-08-28
0.00081,1673,2020-08-29
0.00072,1482,2020-08-30
0.0004,821,2020-08-31
0.00068,1410,2020-09-01
0.00075,1540,2020-09-02
0.0009,1853,2020-09-03
0.00055,1133,2020-09-04
0.00028,572,2020-09-05
0.00011,224,2020-09-06
0.00011,230,2020-09-07
0.00009,182,2020-09-08
0.00059,1214,2020-09-09
0.0001,209,2020-09-10
0.00025,521,2020-09-11
0.00023,476,2020-09-12
0.00025,513,2020-09-13
0.00006,134,2020-09-14
0.0011,2263,2020-09-15
0.00134,2764,2020-09-16
0.0007,1444,2020-09-17
0.00038,790,2020-09-18
0.00049,1019,2020-09-19
0.00053,1088,2020-09-20
0.00053,1099,2020-09-21
0.00072,1493,2020-09-22
0.00074,1519,2020-09-23
0.00056,1148,2020-09-24
0.00015,316,2020-09-25
0.00014,282,2020-09-26
0.00013,269,2020-09-27
0.00043,892,2020-09-28
0.00125,2571,2020-09-29
0.00081,1664,2020-09-30
0.00112,2311,2020-10-01
0.00079,1634,2020-10-02
0.00042,869,2020-10-03
0.00035,712,2020-10-04
0.0008,1640,2020-10-05
0.00114,2341,2020-10-06
0.00013,268,2020-10-07
0.00014,299,2020-10-08
0.00009,188,2020-10-09
0.00024,495,2020-10-10
0.00041,839,2020-10-11
0.00071,1472,2020-10-12
0.0006,1239,2020-10-13
0.00047,974,2020-10-14
0.00093,1917,2020-10-15
0.00089,1826,2020-10-16
0.00042,869,2020-10-17
0.00035,712,2020-10-18
0.00081,1671,2020-10-19
0.00118,2442,2020-10-20
0.00031,631,2020-10-21
0.00064,1316,2020-10-22
0.00067,1390,2020-10-23
0.00051,1058,2020-10-24
0.00042,859,2020-10-25
0.00141,2910,2020-10-26
0.0011,2275,2020-10-27
0.00081,1665,2020-10-28
0.0005,1025,2020-10-29
0.00026,528,2020-10-30
0.00019,391,2020-10-31
0.00007,146,2020-11-01
0.00102,2109,2020-11-02
0.00038,793,2020-11-03
0.00041,844,2020-11-04
0.00062,1281,2020-11-05
0.0009,1861,2020-11-06
0.00026,538,2020-11-07
0.00029,590,2020-11-08
0.00112,2319,2020-11-09
0.00106,2176,2020-11-10
0.00044,904,2020-11-11
0.00053,1103,2020-11-12
0.00029,602,2020-11-13
0.00028,569,2020-11-14
0.00033,685,2020-11-15
