Date,Content,Video title,Video publish time,Views
2022-08-13,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-14,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-15,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-16,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-17,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",3
2022-08-18,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",4
2022-08-19,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",17
2022-08-20,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",3
2022-08-21,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-22,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-23,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-08-24,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-25,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-08-26,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-08-27,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",3
2022-08-28,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",3
2022-08-29,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-08-30,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",1
2022-08-31,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-09-01,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
2022-09-02,F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",0
