"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP21 - Call For Papers","2015-10-10 13:06:37",46,8,11,416
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",42,9,20,429
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",33,7,11,452
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",38,8,15,435
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",32,7,11,528
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",39,8,11,465
"TBP15 - Ants Marching","2015-08-30 19:31:14",14,12,14,412
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",37,15,15,590
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",4,8,14,452
"TBP12 - Boring Economics","2015-08-08 00:53:49",45,5,14,664
"TBP11 - The End of Money","2015-08-03 04:12:02",45,14,15,603
"TBP10 - Bottoms Up","2015-07-24 13:32:59",29,10,16,485
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",31,9,18,551
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",29,14,23,620
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",411,505,296,1694
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",376,499,298,1593
"TBP05 - The World's Strongest","2015-06-28 22:55:15",384,504,296,1681
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",424,509,297,1816
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",382,511,312,1758
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",420,536,338,1964
"Episode #1 - Introduction","2015-06-01 00:34:44",424,593,356,2429
