"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"TBP27 - London Calling","2015-11-22 16:30:21",0,2,0,646
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",1,4,0,582
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,1,1,502
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",2,5,5,777
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,2,2,469
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",2,3,2,415
"TBP21 - Call For Papers","2015-10-10 13:06:37",1,0,1,467
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",2,0,1,477
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",1,0,2,502
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,1,1,470
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",0,1,1,567
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",1,0,2,530
"TBP15 - Ants Marching","2015-08-30 19:31:14",2,0,1,487
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",2,2,4,658
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",2,1,1,497
"TBP12 - Boring Economics","2015-08-08 00:53:49",2,0,4,748
"TBP11 - The End of Money","2015-08-03 04:12:02",1,3,6,688
"TBP10 - Bottoms Up","2015-07-24 13:32:59",1,1,2,529
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",3,5,1,613
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",2,3,6,689
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",2,1,9,2549
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",2,1,3,2300
"TBP05 - The World's Strongest","2015-06-28 22:55:15",3,3,4,2383
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",5,5,11,2505
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",1,4,10,2389
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",5,8,18,2542
"Episode #1 - Introduction","2015-06-01 00:34:44",22,33,62,3131
