"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",1,11,20,786
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",1,14,69,1035
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",1,7,12,643
"TBP53 - Tough Math","2016-04-17 16:24:01",2,12,25,1158
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",1,9,18,632
"TBP51 - Such Wow","2016-04-10 17:09:46",1,11,19,626
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",1,8,18,794
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",1,46,12,851
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",1,9,15,663
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",2,6,26,569
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",1,8,28,837
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",2,6,13,664
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",1,9,11,606
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",1,9,16,648
"TBP42 - True Micropayments","2016-02-21 23:13:15",1,14,14,797
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",1,8,15,600
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",2,12,13,1229
"TBP39 - Running the Gamut","2016-02-07 20:14:46",1,7,11,860
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",2,9,11,609
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",2,18,18,610
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",2,8,9,543
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",2,12,16,1036
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",2,7,10,787
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",2,9,12,672
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",1,9,11,733
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",1,7,13,482
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",2,12,12,488
"TBP29 - Take the Power Back","2015-12-06 16:35:49",1,10,13,598
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",1,26,10,586
"TBP27 - London Calling","2015-11-22 16:30:21",1,8,14,569
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",1,8,10,520
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",2,12,12,449
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",1,13,16,638
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",1,7,16,394
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",1,6,16,331
"TBP21 - Call For Papers","2015-10-10 13:06:37",1,8,11,371
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",2,9,20,389
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",1,7,11,420
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",1,8,15,398
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",1,7,11,497
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",1,8,11,427
"TBP15 - Ants Marching","2015-08-30 19:31:14",1,12,14,399
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",2,15,15,555
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",1,8,14,449
"TBP12 - Boring Economics","2015-08-08 00:53:49",1,5,14,620
"TBP11 - The End of Money","2015-08-03 04:12:02",2,14,15,560
"TBP10 - Bottoms Up","2015-07-24 13:32:59",1,10,16,457
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",1,9,18,521
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",1,14,23,592
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",61,505,296,1344
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",63,499,298,1280
"TBP05 - The World's Strongest","2015-06-28 22:55:15",63,504,296,1360
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",63,509,297,1455
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",63,511,312,1439
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",68,536,338,1612
"Episode #1 - Introduction","2015-06-01 00:34:44",70,593,356,2075
