"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"TBP10 - Bottoms Up","2015-07-24 13:32:59",5,13,14,435
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",6,36,7,499
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",4,21,11,558
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",4,34,20,486
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",5,20,8,425
"TBP05 - The World's Strongest","2015-06-28 22:55:15",4,24,14,501
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",7,35,13,593
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",11,25,15,564
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",29,71,29,699
"Episode #1 - Introduction","2015-06-01 00:34:44",30,107,95,1086
