"item_title","release_date","downloads__february","downloads__january","downloads__december","downloads__total"
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",0,9,4,508
"TBP15 - Ants Marching","2015-08-30 19:31:14",0,20,5,450
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",0,2,17,624
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",0,1,9,475
"TBP12 - Boring Economics","2015-08-08 00:53:49",4,1,7,697
"TBP11 - The End of Money","2015-08-03 04:12:02",1,2,21,655
"TBP10 - Bottoms Up","2015-07-24 13:32:59",2,1,9,511
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",0,0,9,578
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",1,0,14,655
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",2,8,169,2496
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",4,0,45,2259
"TBP05 - The World's Strongest","2015-06-28 22:55:15",2,2,9,2324
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",1,1,2,2445
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",1,5,2,2351
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",5,3,2,2433
"Episode #1 - Introduction","2015-06-01 00:34:44",11,9,5,2817
