"item_title","release_date","downloads__may","downloads__april","downloads__march","downloads__total"
"TBP15 - Ants Marching","2015-08-30 19:31:14",0,0,2,452
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",0,1,7,632
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",2,0,0,477
"TBP12 - Boring Economics","2015-08-08 00:53:49",2,1,0,700
"TBP11 - The End of Money","2015-08-03 04:12:02",2,0,0,657
"TBP10 - Bottoms Up","2015-07-24 13:32:59",0,0,0,511
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",0,0,2,580
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",0,0,1,656
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",2,0,1,2499
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",0,0,1,2260
"TBP05 - The World's Strongest","2015-06-28 22:55:15",0,1,7,2332
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",1,1,0,2447
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",6,0,2,2359
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",9,5,3,2450
"Episode #1 - Introduction","2015-06-01 00:34:44",23,19,14,2873
