date,total_downloads
2016-10-30,1159.0
2016-10-31,562.0
2016-11-01,389.0
2016-11-02,385.0
2016-11-03,305.0
2016-11-04,384.0
2016-11-05,280.0
2016-11-06,908.0
2016-11-07,626.0
2016-11-08,390.0
2016-11-09,339.0
2016-11-10,856.0
2016-11-11,657.0
2016-11-12,459.0
2016-11-13,878.0
2016-11-14,568.0
2016-11-15,454.0
2016-11-16,344.0
2016-11-17,473.0
2016-11-18,194.0
2016-11-19,442.0
2016-11-20,762.0
2016-11-21,704.0
2016-11-22,412.0
2016-11-23,510.0
2016-11-24,361.0
2016-11-25,334.0
2016-11-26,323.0
2016-11-27,664.0
2016-11-28,412.0
2016-11-29,346.0
2016-11-30,805.0
2016-12-01,837.0
2016-12-02,508.0
2016-12-03,453.0
2016-12-04,733.0
2016-12-05,500.0
2016-12-06,209.0
2016-12-07,174.0
2016-12-08,195.0
2016-12-09,196.0
2016-12-10,173.0
2016-12-11,463.0
2016-12-12,625.0
2016-12-13,414.0
2016-12-14,303.0
2016-12-15,381.0
2016-12-16,326.0
2016-12-17,322.0
2016-12-18,63.0
2016-12-19,492.0
2016-12-20,300.0
2016-12-21,295.0
2016-12-22,435.0
2016-12-23,477.0
2016-12-24,333.0
2016-12-25,625.0
2016-12-26,476.0
2016-12-27,206.0
2016-12-28,285.0
2016-12-29,341.0
2016-12-30,246.0
2016-12-31,146.0
2017-01-01,495.0
2017-01-02,590.0
2017-01-03,1273.0
2017-01-04,699.0
2017-01-05,776.0
2017-01-06,363.0
2017-01-07,445.0
2017-01-08,674.0
2017-01-09,549.0
2017-01-10,411.0
2017-01-11,703.0
2017-01-12,877.0
2017-01-13,363.0
2017-01-14,269.0
2017-01-15,730.0
2017-01-16,561.0
2017-01-17,372.0
2017-01-18,338.0
2017-01-19,332.0
2017-01-20,172.0
2017-01-21,171.0
2017-01-22,451.0
2017-01-23,704.0
2017-01-24,309.0
2017-01-25,536.0
2017-01-26,901.0
2017-01-27,480.0
2017-01-28,258.0
2017-01-29,985.0
2017-01-30,1025.0
2017-01-31,575.0
2017-02-01,576.0
2017-02-02,1310.0
2017-02-03,1511.0
2017-02-04,1142.0
2017-02-05,934.0
2017-02-06,739.0
2017-02-07,517.0
2017-02-08,1006.0
2017-02-09,451.0
2017-02-10,494.0
2017-02-11,218.0
2017-02-12,766.0
2017-02-13,654.0
2017-02-14,391.0
2017-02-15,359.0
2017-02-16,238.0
2017-02-17,636.0
2017-02-18,434.0
2017-02-19,897.0
2017-02-20,1475.0
2017-02-21,985.0
2017-02-22,948.0
2017-02-23,435.0
2017-02-24,287.0
2017-02-25,341.0
2017-02-26,636.0
2017-02-27,672.0
2017-02-28,361.0
2017-03-01,309.0
2017-03-02,268.0
2017-03-03,321.0
2017-03-04,258.0
2017-03-05,972.0
2017-03-06,715.0
2017-03-07,963.0
2017-03-08,450.0
2017-03-09,380.0
2017-03-10,699.0
2017-03-11,689.0
2017-03-12,1931.0
2017-03-13,660.0
2017-03-14,433.0
2017-03-15,387.0
2017-03-16,517.0
2017-03-17,320.0
2017-03-18,437.0
2017-03-19,695.0
2017-03-20,1308.0
2017-03-21,1315.0
2017-03-22,861.0
2017-03-23,480.0
2017-03-24,474.0
2017-03-25,432.0
2017-03-26,1231.0
2017-03-27,1042.0
2017-03-28,944.0
2017-03-29,960.0
2017-03-30,733.0
2017-03-31,585.0
2017-04-01,433.0
2017-04-02,1069.0
2017-04-03,1479.0
2017-04-04,976.0
2017-04-05,833.0
2017-04-06,809.0
2017-04-07,625.0
2017-04-08,394.0
2017-04-09,751.0
2017-04-10,791.0
2017-04-11,431.0
2017-04-12,616.0
2017-04-13,1217.0
2017-04-14,1109.0
2017-04-15,671.0
2017-04-16,1303.0
2017-04-17,955.0
2017-04-18,1086.0
2017-04-19,593.0
2017-04-20,1098.0
2017-04-21,1181.0
2017-04-22,743.0
2017-04-23,1218.0
2017-04-24,723.0
2017-04-25,540.0
2017-04-26,2180.0
2017-04-27,436.0
2017-04-28,1146.0
2017-04-29,536.0
2017-04-30,632.0
2017-05-01,2315.0
2017-05-02,1705.0
2017-05-03,714.0
2017-05-04,982.0
2017-05-05,1219.0
2017-05-06,1149.0
2017-05-07,198.0
2017-05-08,1418.0
2017-05-09,867.0
2017-05-10,700.0
2017-05-11,771.0
2017-05-12,904.0
2017-05-13,433.0
2017-05-14,1337.0
2017-05-15,844.0
2017-05-16,665.0
2017-05-17,584.0
2017-05-18,483.0
2017-05-19,525.0
2017-05-20,399.0
2017-05-21,1391.0
2017-05-22,1639.0
2017-05-23,1276.0
2017-05-24,1279.0
2017-05-25,1162.0
2017-05-26,842.0
2017-05-27,2210.0
2017-05-28,2171.0
2017-05-29,2516.0
2017-05-30,1806.0
2017-05-31,1198.0
2017-06-01,875.0
2017-06-02,810.0
2017-06-03,443.0
2017-06-04,1557.0
2017-06-05,1290.0
2017-06-06,1424.0
2017-06-07,838.0
2017-06-08,868.0
2017-06-09,869.0
2017-06-10,700.0
2017-06-11,1968.0
2017-06-12,1705.0
2017-06-13,2103.0
2017-06-14,1431.0
2017-06-15,1203.0
2017-06-16,2100.0
2017-06-17,1709.0
2017-06-18,2255.0
2017-06-19,2204.0
2017-06-20,3511.0
2017-06-21,3542.0
2017-06-22,3683.0
2017-06-23,1738.0
2017-06-24,1315.0
2017-06-25,308.0
