"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",19,19,18,1934
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",11,9,10,1430
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",8,11,16,1223
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",9,13,27,1215
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",7,15,28,1242
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",6,13,18,1128
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",5,10,15,1111
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",5,10,15,856
"TBP60 - Release the Kraken","2016-05-23 03:32:09",9,23,60,2026
"TBP59 - Incredible India","2016-05-16 15:40:00",4,18,19,975
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",12,20,23,1674
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",7,9,16,1964
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",17,18,14,834
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",11,13,19,1077
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",8,10,12,672
"TBP53 - Tough Math","2016-04-17 16:24:01",8,12,16,1192
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",8,10,15,664
"TBP51 - Such Wow","2016-04-10 17:09:46",8,10,13,656
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",10,10,14,827
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",8,15,29,902
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",13,10,12,697
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",11,9,12,599
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",11,8,17,872
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",12,16,24,714
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",10,16,15,646
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",18,14,26,705
"TBP42 - True Micropayments","2016-02-21 23:13:15",10,11,19,836
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",11,13,17,640
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",11,11,26,1275
"TBP39 - Running the Gamut","2016-02-07 20:14:46",12,14,10,895
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",11,9,15,642
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",12,16,11,647
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",5,11,9,566
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",7,12,19,1072
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",6,8,11,810
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",7,10,8,695
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",6,9,53,800
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",10,9,11,511
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",6,9,7,508
"TBP29 - Take the Power Back","2015-12-06 16:35:49",6,19,46,668
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",9,13,12,619
"TBP27 - London Calling","2015-11-22 16:30:21",6,13,10,597
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",5,8,8,540
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",3,12,11,473
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",8,17,27,689
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",7,10,17,427
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",7,8,45,390
"TBP21 - Call For Papers","2015-10-10 13:06:37",5,9,48,432
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",6,15,45,453
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",6,10,38,473
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",6,10,39,452
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",5,9,33,543
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",4,27,42,499
"TBP15 - Ants Marching","2015-08-30 19:31:14",5,12,15,430
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",16,12,40,621
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",9,12,5,474
"TBP12 - Boring Economics","2015-08-08 00:53:49",7,19,47,692
"TBP11 - The End of Money","2015-08-03 04:12:02",13,26,47,644
"TBP10 - Bottoms Up","2015-07-24 13:32:59",9,12,31,508
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",9,16,33,578
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",14,12,37,654
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",169,485,549,2486
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",45,481,512,2255
"TBP05 - The World's Strongest","2015-06-28 22:55:15",8,490,524,2319
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",2,486,563,2443
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",2,443,524,2345
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",2,310,569,2425
"Episode #1 - Introduction","2015-06-01 00:34:44",4,207,580,2796
