"item_title","release_date","downloads__november","downloads__october","downloads__september","downloads__total"
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",15,28,22,1235
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",13,18,23,1122
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",10,15,12,1106
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",10,15,21,851
"TBP60 - Release the Kraken","2016-05-23 03:32:09",22,60,53,2016
"TBP59 - Incredible India","2016-05-16 15:40:00",17,19,20,970
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",20,23,38,1662
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",9,16,27,1957
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",17,14,11,816
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",13,19,14,1066
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",10,12,7,664
"TBP53 - Tough Math","2016-04-17 16:24:01",11,16,12,1183
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",10,15,9,656
"TBP51 - Such Wow","2016-04-10 17:09:46",9,13,11,647
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",10,14,8,817
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",15,29,46,894
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",10,12,9,684
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",9,12,6,588
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",8,17,8,861
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",16,24,6,702
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",16,15,9,636
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",13,26,9,686
"TBP42 - True Micropayments","2016-02-21 23:13:15",10,19,14,825
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",13,17,8,629
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",11,26,12,1264
"TBP39 - Running the Gamut","2016-02-07 20:14:46",13,10,7,882
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",9,15,9,631
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",14,11,18,633
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",11,9,8,561
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",12,19,12,1065
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",8,11,7,804
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",10,8,9,688
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",9,53,9,794
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",9,11,7,501
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",9,7,12,502
"TBP29 - Take the Power Back","2015-12-06 16:35:49",19,46,10,662
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",12,12,26,609
"TBP27 - London Calling","2015-11-22 16:30:21",13,10,8,591
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",8,8,8,535
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",11,11,12,469
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",16,27,13,680
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",10,17,7,420
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",8,45,6,383
"TBP21 - Call For Papers","2015-10-10 13:06:37",9,48,8,427
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",15,45,9,447
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",10,38,7,467
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",9,39,8,445
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",9,33,7,538
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",15,42,8,483
"TBP15 - Ants Marching","2015-08-30 19:31:14",12,15,12,425
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",12,40,15,605
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",12,5,8,465
"TBP12 - Boring Economics","2015-08-08 00:53:49",19,47,5,685
"TBP11 - The End of Money","2015-08-03 04:12:02",22,47,14,627
"TBP10 - Bottoms Up","2015-07-24 13:32:59",12,31,10,499
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",16,33,9,569
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",12,37,14,640
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",439,549,505,2271
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",434,512,499,2163
"TBP05 - The World's Strongest","2015-06-28 22:55:15",442,524,504,2263
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",449,563,509,2404
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",443,524,511,2343
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",310,569,536,2423
"Episode #1 - Introduction","2015-06-01 00:34:44",205,580,593,2790
