"item_title","release_date","downloads__november","downloads__october","downloads__september","downloads__total"
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",4,9,8,554
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",5,19,12,1058
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",3,11,7,799
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",4,8,9,682
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",3,53,9,788
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",4,11,7,496
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",4,7,12,497
"TBP29 - Take the Power Back","2015-12-06 16:35:49",14,46,10,657
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",5,12,26,602
"TBP27 - London Calling","2015-11-22 16:30:21",5,10,8,583
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",3,8,8,530
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",6,11,12,464
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",6,27,13,670
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",4,17,7,414
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",3,45,6,378
"TBP21 - Call For Papers","2015-10-10 13:06:37",4,48,8,422
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",7,45,9,439
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",3,38,7,460
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",3,39,8,439
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",3,33,7,532
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",10,42,8,478
"TBP15 - Ants Marching","2015-08-30 19:31:14",5,15,12,418
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",7,40,15,600
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",5,5,8,458
"TBP12 - Boring Economics","2015-08-08 00:53:49",5,47,5,671
"TBP11 - The End of Money","2015-08-03 04:12:02",6,47,14,611
"TBP10 - Bottoms Up","2015-07-24 13:32:59",7,31,10,494
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",9,33,9,562
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",7,37,14,635
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",218,549,505,2050
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",217,512,499,1946
"TBP05 - The World's Strongest","2015-06-28 22:55:15",220,524,504,2041
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",231,563,509,2186
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",231,524,511,2131
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",218,569,536,2331
"Episode #1 - Introduction","2015-06-01 00:34:44",202,580,593,2787
