"item_title","release_date","downloads__january","downloads__december","downloads__november","downloads__total"
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",0,11,10,828
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",0,9,15,903
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",0,14,10,698
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",0,14,9,602
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",0,12,8,873
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",0,13,16,715
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",0,11,16,647
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",0,20,14,707
"TBP42 - True Micropayments","2016-02-21 23:13:15",0,11,11,837
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",0,13,13,642
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",0,13,11,1277
"TBP39 - Running the Gamut","2016-02-07 20:14:46",0,13,14,896
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",1,13,9,645
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",0,14,16,649
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",0,6,11,567
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",0,7,12,1072
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",0,6,8,810
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",0,7,10,695
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",0,6,9,800
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",0,10,9,511
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",0,6,9,508
"TBP29 - Take the Power Back","2015-12-06 16:35:49",0,6,19,668
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",0,9,13,619
"TBP27 - London Calling","2015-11-22 16:30:21",0,6,13,597
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",0,5,8,540
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,3,12,473
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",0,9,17,690
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,7,10,427
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",0,7,8,390
"TBP21 - Call For Papers","2015-10-10 13:06:37",0,5,9,432
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",0,6,15,453
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",0,7,10,474
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,7,10,453
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",1,5,9,544
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",0,4,27,499
"TBP15 - Ants Marching","2015-08-30 19:31:14",0,5,12,430
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",0,17,12,622
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",1,9,12,475
"TBP12 - Boring Economics","2015-08-08 00:53:49",1,7,19,693
"TBP11 - The End of Money","2015-08-03 04:12:02",0,21,26,652
"TBP10 - Bottoms Up","2015-07-24 13:32:59",0,9,12,508
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",0,9,16,578
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",0,14,12,654
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",0,169,485,2486
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",0,45,481,2255
"TBP05 - The World's Strongest","2015-06-28 22:55:15",0,9,490,2320
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",0,2,486,2443
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",0,2,443,2345
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",0,2,310,2425
"Episode #1 - Introduction","2015-06-01 00:34:44",0,5,207,2797
