"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",61,25,37,800
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",52,29,32,643
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",40,34,40,585
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",32,22,28,622
"TBP42 - True Micropayments","2016-02-21 23:13:15",42,23,24,768
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",44,29,25,576
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",42,32,35,1202
"TBP39 - Running the Gamut","2016-02-07 20:14:46",36,22,19,841
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",23,16,17,587
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",32,20,16,572
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",22,10,14,524
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",20,18,22,1006
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",21,17,17,767
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",18,24,25,649
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",19,23,23,712
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",18,16,13,461
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",14,11,10,462
"TBP29 - Take the Power Back","2015-12-06 16:35:49",20,18,15,574
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",18,14,31,549
"TBP27 - London Calling","2015-11-22 16:30:21",19,10,11,546
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",19,12,17,501
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",11,8,12,423
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",21,17,19,608
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",21,11,11,370
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",17,15,17,308
"TBP21 - Call For Papers","2015-10-10 13:06:37",18,17,11,351
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",22,14,21,358
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",20,16,17,401
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",17,12,9,374
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",15,12,10,478
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",20,13,13,407
"TBP15 - Ants Marching","2015-08-30 19:31:14",21,12,12,372
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",27,12,12,523
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",19,13,10,426
"TBP12 - Boring Economics","2015-08-08 00:53:49",32,18,13,600
"TBP11 - The End of Money","2015-08-03 04:12:02",24,10,20,529
"TBP10 - Bottoms Up","2015-07-24 13:32:59",13,14,10,430
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",36,7,13,493
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",21,11,12,554
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",34,20,11,482
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",20,8,13,420
"TBP05 - The World's Strongest","2015-06-28 22:55:15",24,14,25,497
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",35,13,26,586
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",25,15,30,553
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",71,29,38,670
"Episode #1 - Introduction","2015-06-01 00:34:44",107,95,59,1056
