"region","total_downloads"
"Pomorskie, Poland",3
"Slaskie, Poland",3
"Warminsko-Mazurskie, Poland",1
"Wielkopolskie, Poland",5
", Puerto Rico",17
"Braga, Portugal",1
"Madeira, Portugal",7
"Lisboa, Portugal",3
"Porto, Portugal",3
", Qatar",1
", Reunion",1
", Romania",8
"Braila, Romania",1
"Bucuresti, Romania",32
"Caras-Severin, Romania",1
"Cluj, Romania",2
"Constanta, Romania",2
"Galati, Romania",1
"Maramures, Romania",4
", Serbia",6
", Serbia",2
"Vojvodina, Serbia",1
", Russian Federation",13
"Bashkortostan, Russian Federation",3
"Chelyabinsk, Russian Federation",1
"Kurgan, Russian Federation",1
"Moscow City, Russian Federation",15
"Saint Petersburg City, Russian Federation",2
"Saratov, Russian Federation",2
"North Ossetia, Russian Federation",1
"Tatarstan, Russian Federation",2
"Kigali, Rwanda",1
", Saudi Arabia",5
"Ash Sharqiyah, Saudi Arabia",15
"Ar Riyad, Saudi Arabia",1
", Seychelles",1
", Sweden",84
"Gavleborgs Lan, Sweden",17
"Hallands Lan, Sweden",3
"Jamtlands Lan, Sweden",1
"Kalmar Lan, Sweden",1
"Dalarnas Lan, Sweden",2
"Orebro Lan, Sweden",2
"Ostergotlands Lan, Sweden",2
"Sodermanlands Lan, Sweden",2
"Uppsala Lan, Sweden",2
"Stockholms Lan, Sweden",140
"Skane Lan, Sweden",57
"Vastra Gotaland, Sweden",13
", Singapore",6
", Singapore",124
", Slovenia",19
"Beltinci, Slovenia",2
"Bohinj, Slovenia",3
"Grosuplje Commune, Slovenia",2
"Kranj, Slovenia",39
"Ljubljana, Slovenia",2
"Domzale, Slovenia",1
"Hoce-Slivnica Commune, Slovenia",1
"Maribor, Slovenia",1
"Ptuj, Slovenia",1
", Slovakia",16
"Bratislava, Slovakia",11
"Paramaribo, Suriname",1
"San Salvador, El Salvador",5
", Sint Maarten (Dutch part)",1
", Thailand",26
"Chiang Mai, Thailand",3
"Chiang Rai, Thailand",2
"Krung Thep, Thailand",22
"Surat Thani, Thailand",6
"Tunis, Tunisia",1
"Antalya, Turkey",3
"Istanbul, Turkey",5
"Caroni, Trinidad and Tobago",10
"Port-of-Spain, Trinidad and Tobago",2
", Taiwan",2
"T'ai-pei, Taiwan",19
"T'ai-wan, Taiwan",3
", Tanzania, United Republic of",137
"Dar es Salaam, Tanzania, United Republic of",21
", Ukraine",1
"Kyyiv, Ukraine",3
"L'vivs'ka Oblast', Ukraine",1
", United States",836
"Armed Forces Europe, Middle East, & Canada, United States",1
"Alaska, United States",4
"Alabama, United States",15
"Arkansas, United States",21
"Arizona, United States",190
"California, United States",2705
"Colorado, United States",313
"Connecticut, United States",95
"District of Columbia, United States",70
"Delaware, United States",52
"Florida, United States",664
"Georgia, United States",356
"Hawaii, United States",28
"Iowa, United States",144
"Idaho, United States",30
"Illinois, United States",378
"Indiana, United States",55
"Kansas, United States",40
"Kentucky, United States",96
"Louisiana, United States",90
"Massachusetts, United States",177
"Maryland, United States",140
"Maine, United States",6
"Michigan, United States",161
"Minnesota, United States",138
"Missouri, United States",165
"Mississippi, United States",15
"Montana, United States",41
"North Carolina, United States",168
"North Dakota, United States",14
"Nebraska, United States",17
"New Hampshire, United States",89
"New Jersey, United States",459
"New Mexico, United States",33
"Nevada, United States",271
"New York, United States",724
"Ohio, United States",103
"Oklahoma, United States",42
