"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",13,17,36,993
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",1,2,21,786
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",2,0,29,715
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",1,0,22,805
"TBP42 - True Micropayments","2016-02-21 23:13:15",22,2,25,922
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",2,3,1,687
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",3,1,1,1324
"TBP39 - Running the Gamut","2016-02-07 20:14:46",2,1,2,919
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",9,2,1,687
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",13,5,7,747
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",16,1,1,599
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",4,0,7,1112
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",2,0,2,843
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",1,0,0,749
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",3,0,1,828
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",11,1,12,559
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",1,1,0,564
"TBP29 - Take the Power Back","2015-12-06 16:35:49",0,1,1,718
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",2,3,2,658
"TBP27 - London Calling","2015-11-22 16:30:21",0,0,3,644
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",1,2,2,572
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,0,1,500
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",4,4,5,763
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",2,1,0,465
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",5,0,2,407
"TBP21 - Call For Papers","2015-10-10 13:06:37",12,0,1,465
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",2,0,1,474
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",0,0,4,497
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,2,2,467
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",6,2,2,565
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",4,2,6,523
"TBP15 - Ants Marching","2015-08-30 19:31:14",16,5,6,484
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",4,6,1,647
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",6,2,2,492
"TBP12 - Boring Economics","2015-08-08 00:53:49",8,13,15,741
"TBP11 - The End of Money","2015-08-03 04:12:02",4,5,8,678
"TBP10 - Bottoms Up","2015-07-24 13:32:59",0,4,7,524
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",0,7,9,602
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",1,8,6,675
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",13,10,6,2534
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",10,8,1,2290
"TBP05 - The World's Strongest","2015-06-28 22:55:15",10,14,10,2371
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",13,8,7,2481
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",3,4,1,2372
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",16,11,12,2502
"Episode #1 - Introduction","2015-06-01 00:34:44",20,23,36,2974
