"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",0,37,6,930
"TBP60 - Release the Kraken","2016-05-23 03:32:09",0,174,7,2276
"TBP59 - Incredible India","2016-05-16 15:40:00",1,34,6,1047
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",2,104,14,1831
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",0,44,9,2047
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",1,34,11,921
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",1,57,17,1227
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",0,12,12,723
"TBP53 - Tough Math","2016-04-17 16:24:01",2,11,14,1279
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",0,6,4,694
"TBP51 - Such Wow","2016-04-10 17:09:46",0,7,5,690
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",0,6,11,864
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",0,7,5,936
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",0,12,2,730
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",0,32,4,654
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",1,12,17,928
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",19,11,18,781
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",27,9,7,711
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",21,32,2,803
"TBP42 - True Micropayments","2016-02-21 23:13:15",21,8,0,894
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",0,6,0,681
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",0,8,3,1319
"TBP39 - Running the Gamut","2016-02-07 20:14:46",0,2,0,914
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",0,5,0,675
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",2,8,2,724
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",0,3,0,581
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",1,11,1,1102
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",0,5,2,839
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",0,3,2,748
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",0,3,0,824
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",10,1,3,545
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",0,28,2,562
"TBP29 - Take the Power Back","2015-12-06 16:35:49",0,2,1,716
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",1,5,1,652
"TBP27 - London Calling","2015-11-22 16:30:21",0,25,1,641
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",0,4,2,567
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,2,5,499
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",1,8,7,751
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,3,3,462
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",1,3,0,401
"TBP21 - Call For Papers","2015-10-10 13:06:37",1,4,2,453
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",1,3,0,472
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",3,6,0,496
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",1,2,0,464
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",1,6,0,556
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",4,2,0,515
"TBP15 - Ants Marching","2015-08-30 19:31:14",2,5,0,459
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",1,4,1,637
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",1,7,0,483
"TBP12 - Boring Economics","2015-08-08 00:53:49",4,7,1,709
"TBP11 - The End of Money","2015-08-03 04:12:02",2,6,0,663
"TBP10 - Bottoms Up","2015-07-24 13:32:59",6,2,0,519
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",7,6,0,593
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",5,4,0,665
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",5,8,0,2510
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",1,11,0,2272
"TBP05 - The World's Strongest","2015-06-28 22:55:15",6,5,1,2343
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",1,7,1,2454
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",1,11,0,2365
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",1,22,5,2464
"Episode #1 - Introduction","2015-06-01 00:34:44",9,45,19,2904
